5;40 Halaa Battle Token (id=26045), 2 Halaa Research Token (id=26044)
6;20 Halaa Battle Token (id=26045), 1 Halaa Research Token (id=26044)
7;8 Halaa Research Token (id=26044)
18;100 Halaa Battle Token (id=26045)
21;83619 Honor Points
22;139365 Honor Points
24;111492 Honor Points
26;278815 Honor Points
53;5 Mark of Honor Hold (id=24579)
54;5 Mark of Thrallmar (id=24581)
55;10 Mark of Thrallmar (id=24581)
56;10 Mark of Honor Hold (id=24579)
65;15 Mark of Thrallmar (id=24581)
66;102 Honor Points
69;15 Mark of Honor Hold (id=24579)
76;30 Mark of Thrallmar (id=24581)
77;30 Mark of Honor Hold (id=24579)
94;318750 Honor Points
95;2500 Honor Points
98;382500 Honor Points
99;14000 Honor Points
100;1 Glowcap (id=24245)
102;2 Glowcap (id=24245)
103;25 Glowcap (id=24245)
104;15 Glowcap (id=24245)
115;283050 Honor Points
125;12000 Honor Points
127;9000 Honor Points
129;5000 Honor Points
131;29000 Honor Points
133;195196 Honor Points
146;74385 Honor Points
148;234184 Honor Points
165;7500 Honor Points
169;172618 Honor Points
170;157250 Honor Points
171;261904 Honor Points
172;261904 Honor Points
173;212500 Honor Points
194;18 Spirit Shard (id=28558)
201;292261 Honor Points
202;205900 Honor Points
203;292261 Honor Points
204;292261 Honor Points
205;205900 Honor Points
293;50 Spirit Shard (id=28558)
298;8 Spirit Shard (id=28558)
348;272618 Honor Points
359;340000 Honor Points
360;361904 Honor Points
386;255000 Honor Points
388;30 Glowcap (id=24245)
423;200000 Honor Points
427;8500 Honor Points
428;6000 Honor Points
444;10500 Honor Points
460;100 Honor Points
463;12500 Honor Points
464;12500 Honor Points
465;7000 Honor Points
488;8500 Honor Points
489;90773 Honor Points
490;24500 Honor Points
491;5500 Honor Points
492;5500 Honor Points
495;8500 Honor Points
496;17500 Honor Points
497;25000 Honor Points
501;13000 Honor Points
520;5500 Honor Points
532;5000 Honor Points
533;5000 Honor Points
541;7000 Honor Points
542;12500 Honor Points
565;18500 Honor Points
567;18500 Honor Points
634;5500 Honor Points
652;10500 Honor Points
653;10500 Honor Points
701;208900 Honor Points
702;90773 Honor Points
746;13000 Honor Points
747;17000 Honor Points
748;10500 Honor Points
774;5500 Honor Points
821;10000 Honor Points
822;2000 Honor Points
823;2000 Honor Points
826;7000 Honor Points
837;12500 Honor Points
838;2500 Honor Points
839;2500 Honor Points
841;4500 Honor Points
855;2500 Honor Points
871;8500 Honor Points
883;15500 Honor Points
884;3500 Honor Points
885;3500 Honor Points
887;5500 Honor Points
901;3500 Honor Points
917;11000 Honor Points
929;19500 Honor Points
930;4500 Honor Points
931;4500 Honor Points
933;7000 Honor Points
947;4500 Honor Points
968;13500 Honor Points
986;4500 Honor Points
989;5500 Honor Points
990;6500 Honor Points
1000;17856 Honor Points
1002;50000 Honor Points
1003;267900 Honor Points
1005;200000 Honor Points
1006;10000 Honor Points
1007;5000 Honor Points
1009;17856 Honor Points
1015;13000 Justice Points
1027;21300 Justice Points
1037;17200 Justice Points
1040;26000 Justice Points
1050;4000 Honor Points
1054;3500 Honor Points
1055;2000 Honor Points
1061;5952 Honor Points
1062;55952 Honor Points
1076;20 Glowcap (id=24245)
1077;45 Glowcap (id=24245)
1110;8928 Honor Points
1111;8928 Honor Points
1184;2 Holy Dust (id=29735)
1188;8 Holy Dust (id=29735)
1192;2 Arcane Rune (id=29736)
1196;8 Arcane Rune (id=29736)
1200;1 Chestguard of the Fallen Champion (id=29754)
1203;1 Gloves of the Fallen Champion (id=29757)
1206;1 Helm of the Fallen Champion (id=29760)
1209;1 Leggings of the Fallen Champion (id=29766)
1212;1 Pauldrons of the Fallen Champion (id=29763)
1215;1 Chestguard of the Fallen Hero (id=29755)
1216;1 Gloves of the Fallen Hero (id=29756)
1217;1 Helm of the Fallen Hero (id=29759)
1218;1 Leggings of the Fallen Hero (id=29765)
1219;1 Pauldrons of the Fallen Hero (id=29762)
1235;1 Chestguard of the Fallen Defender (id=29753)
1237;1 Gloves of the Fallen Defender (id=29758)
1239;1 Helm of the Fallen Defender (id=29761)
1241;1 Leggings of the Fallen Defender (id=29767)
1243;1 Pauldrons of the Fallen Defender (id=29764)
1332;1 Chestguard of the Vanquished Defender (id=30237)
1333;1 Gloves of the Vanquished Defender (id=30240)
1334;1 Helm of the Vanquished Defender (id=30243)
1335;1 Leggings of the Vanquished Defender (id=30246)
1336;1 Pauldrons of the Vanquished Defender (id=30249)
1342;1 Chestguard of the Vanquished Champion (id=30236)
1343;1 Gloves of the Vanquished Champion (id=30239)
1344;1 Helm of the Vanquished Champion (id=30242)
1345;1 Leggings of the Vanquished Champion (id=30245)
1346;1 Pauldrons of the Vanquished Champion (id=30248)
1357;1 Chestguard of the Vanquished Hero (id=30238)
1358;1 Gloves of the Vanquished Hero (id=30241)
1359;1 Helm of the Vanquished Hero (id=30244)
1360;1 Leggings of the Vanquished Hero (id=30247)
1361;1 Pauldrons of the Vanquished Hero (id=30250)
1431;1850 arena, 17500 Honor Points
